source,source_geo_id,source_geo_name,source_geo_type,canonical_geo_id,match_method,confidence_score,notes
zillow,753893,"Jefferson, GA",msa,metro_27600,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=GA
zillow,395187,"Vernal, UT",msa,metro_46860,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=UT
zillow,394411,"Branson, MO",msa,metro_14700,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=MO
zillow,394764,"Lake City, FL",msa,metro_29380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,395009,"Punta Gorda, FL",msa,metro_39460,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=FL
zillow,102001,United States,country,us,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=
zillow,395149,"Taos, NM",msa,metro_45340,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
zillow,394491,"Columbus, NE",msa,metro_18100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NE
zillow,394845,"McMinnville, TN",msa,metro_32660,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TN
zillow,394789,"Lewistown, PA",msa,metro_30380,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=PA
zillow,394815,"Madison, IN",msa,metro_31500,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,394478,"Clovis, NM",msa,metro_17580,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NM
zillow,394613,"Frankfort, IN",msa,metro_23140,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=IN
zillow,395208,"Washington, NC",msa,metro_47820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=NC
zillow,394398,"Bogalusa, LA",msa,metro_14220,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=LA
zillow,394968,"Pecos, TX",msa,county:00371,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=TX
zillow,394435,"Camden, AR",msa,metro_15780,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=AR
zillow,395085,"Seneca, SC",msa,metro_42860,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SC
zillow,394297,"Aberdeen, SD",msa,metro_10100,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=SD
zillow,394484,"Colorado Springs, CO",msa,metro_17820,manual,0.9500,Story 9.2 generated exact normalized name match; dataset=zhvi; state_code=CO
